Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,PK,CrdY,CrdR,xG,npxG
Oscar Bobb,no NOR,"FW,MF",20,14,2,302,3.4,1,1,0,0,0,1.4,1.4
Kalvin Phillips,eng ENG,MF,27,4,0,93,1.0,0,0,0,0,0,0.1,0.1
Sergio GÃ³mez,es ESP,"FW,MF",22,6,0,53,0.6,0,1,0,0,0,0.2,0.2
Aymeric Laporte,es ESP,DF,29,1,0,12,0.1,0,0,0,0,0,0.0,0.0
Cole Palmer,eng ENG,MF,21,1,0,11,0.1,0,0,0,0,0,0.0,0.0
James Mcatee,eng ENG,MF,20,1,0,1,0.0,0,0,0,0,0,0.0,0.0
Scott Carson,eng ENG,GK,37,0,0,0,,0,0,0,0,0,,
Micah Hamilton,eng ENG,MF,19,0,0,0,,0,0,0,0,0,,
MÃ¡ximo Perrone,ar ARG,MF,20,0,0,0,,0,0,0,0,0,,
Mahamadou Susoho,es ESP,DF,18,0,0,0,,0,0,0,0,0,,
Jacob Wright,eng ENG,MF,17,0,0,0,,0,0,0,0,0,,
Squad Total,,,26,38,418,3420,38.0,94,69,9,53,2,80.5,72.9
Opponent Total,,,26,38,418,3420,38.0,33,23,3,93,2,35.6,33.2
William Saliba,fr FRA,DF,22,0,38,3420,38.0,2,1,0,4,0,1.6,1.6
Declan Rice,eng ENG,MF,24,0,37,3225,35.8,7,8,0,5,0,3.3,3.3
Martin Ã˜degaard,no NOR,MF,24,0,35,3091,34.3,8,10,2,2,0,7.4,5.8
Ben White,eng ENG,DF,25,0,35,2988,33.2,4,4,0,8,0,1.2,1.2
Bukayo Saka,eng ENG,FW,21,0,35,2919,32.4,16,9,6,4,0,15.5,10.8
Gabriel MagalhÃ£es,br BRA,DF,25,0,34,3044,33.8,4,0,0,4,0,4.3,4.3
David Raya,es ESP,GK,27,0,32,2880,32.0,0,0,0,2,0,0.0,0.0
Kai Havertz,de GER,"MF,FW",24,0,30,2634,29.3,13,7,1,11,0,12.3,11.6
Gabriel Martinelli,br BRA,FW,22,0,24,2019,22.4,6,4,0,1,0,6.8,6.8
Oleksandr Zinchenko,ua UKR,DF,26,0,20,1722,19.1,1,2,0,2,0,0.6,0.6
Leandro Trossard,be BEL,"FW,MF",28,0,18,1649,18.3,12,1,0,2,0,7.9,7.9
Gabriel Jesus,br BRA,FW,26,0,17,1478,16.4,4,5,0,6,0,6.3,6.3
Jakub Kiwior,pl POL,DF,23,0,11,946,10.5,1,3,0,1,0,0.8,0.8
Takehiro Tomiyasu,jp JPN,DF,24,0,10,1149,12.8,2,1,0,2,1,1.5,1.5
Eddie Nketiah,eng ENG,FW,24,0,10,1082,12.0,5,2,0,3,0,4.5,4.5
Jorginho,it ITA,MF,31,0,10,921,10.2,0,2,0,1,0,0.1,0.1
Thomas Partey,gh GHA,"MF,DF",30,0,9,788,8.8,0,0,0,3,0,0.4,0.4
Aaron Ramsdale,eng ENG,GK,25,0,6,540,6.0,0,0,0,0,0,0.0,0.0
Emile Smith Rowe,eng ENG,MF,23,0,3,353,3.9,0,1,0,0,0,2.0,2.0
Fabio Vieira,pt POR,"MF,FW",23,0,2,297,3.3,1,2,1,0,1,1.3,0.5
Reiss Nelson,eng ENG,FW,23,0,1,268,3.0,0,0,0,1,0,0.2,0.2
JurriÃ«n Timber,nl NED,DF,22,0,1,71,0.8,0,0,0,2,0,0.0,0.0
CÃ©dric Soares,pt POR,DF,31,0,0,62,0.7,0,0,0,0,0,0.0,0.0
Mohamed Elneny,eg EGY,MF,31,0,0,28,0.3,0,0,0,0,0,0.1,0.1
